subscription_id,customer_id,plan_tier,mrr,start_date,end_date,status
SUB_00059,CUST_00059,Starter,49,2022-11-13,,Active
SUB_00060,CUST_00060,Starter,49,2023-06-16,,Active
SUB_00061,CUST_00061,Pro,199,2022-04-16,,Active
SUB_00062,CUST_00062,Pro,199,2023-04-09,,Active
SUB_00063,CUST_00063,Starter,49,2022-09-03,,Active
SUB_00064,CUST_00064,Pro,199,2022-03-22,,Active
SUB_00065,CUST_00065,Starter,49,2023-10-24,,Active
SUB_00066,CUST_00066,Starter,49,2023-01-31,,Active
SUB_00067,CUST_00067,Starter,49,2023-06-06,,Active
SUB_00068,CUST_00068,Pro,199,2022-09-21,2023-09-01,Churned
SUB_00069,CUST_00069,Starter,49,2023-10-23,,Active
SUB_00070,CUST_00070,Pro,199,2022-10-01,,Active
SUB_00071,CUST_00071,Pro,199,2022-06-21,,Active
SUB_00072,CUST_00072,Pro,199,2022-09-22,,Active
SUB_00073,CUST_00073,Pro,199,2022-01-26,,Active
SUB_00074,CUST_00074,Enterprise,999,2023-04-14,2023-07-20,Churned
SUB_00075,CUST_00075,Starter,49,2023-04-21,,Active
SUB_00076,CUST_00076,Starter,49,2022-12-22,2023-11-29,Churned
SUB_00077,CUST_00077,Pro,199,2022-01-26,2022-04-29,Churned
SUB_00078,CUST_00078,Pro,199,2022-02-03,,Active
SUB_00079,CUST_00079,Starter,49,2022-09-21,,Active
SUB_00080,CUST_00080,Starter,49,2022-05-18,,Active
SUB_00081,CUST_00081,Starter,49,2023-11-26,2024-06-24,Churned
SUB_00082,CUST_00082,Starter,49,2023-07-20,,Active
SUB_00083,CUST_00083,Starter,49,2023-04-07,2023-07-25,Churned
SUB_00084,CUST_00084,Enterprise,999,2022-06-17,,Active
SUB_00085,CUST_00085,Pro,199,2023-09-23,,Active
SUB_00086,CUST_00086,Starter,49,2023-10-17,2024-06-05,Churned
SUB_00087,CUST_00087,Pro,199,2022-03-22,,Active
SUB_00088,CUST_00088,Pro,199,2023-02-11,,Active
SUB_00089,CUST_00089,Starter,49,2023-07-28,,Active
SUB_00090,CUST_00090,Starter,49,2022-02-15,,Active
SUB_00091,CUST_00091,Pro,199,2023-08-22,,Active
SUB_00092,CUST_00092,Pro,199,2023-09-03,,Active
SUB_00093,CUST_00093,Starter,49,2022-02-22,,Active
SUB_00094,CUST_00094,Enterprise,999,2023-04-21,,Active
SUB_00095,CUST_00095,Starter,49,2023-08-15,,Active
SUB_00096,CUST_00096,Starter,49,2022-01-16,,Active
SUB_00097,CUST_00097,Starter,49,2022-12-26,2023-07-25,Churned
SUB_00098,CUST_00098,Starter,49,2023-05-02,,Active
SUB_00099,CUST_00099,Pro,199,2023-05-17,,Active
SUB_00100,CUST_00100,Enterprise,999,2022-05-21,2023-01-19,Churned
SUB_00101,CUST_00101,Starter,49,2023-09-12,2024-02-08,Churned
SUB_00102,CUST_00102,Enterprise,999,2023-03-23,,Active
SUB_00103,CUST_00103,Pro,199,2022-10-17,,Active
SUB_00104,CUST_00104,Starter,49,2022-07-28,,Active
SUB_00105,CUST_00105,Pro,199,2023-04-20,,Active
SUB_00106,CUST_00106,Starter,49,2023-02-17,2023-11-14,Churned
SUB_00107,CUST_00107,Pro,199,2023-11-08,2024-11-06,Churned
SUB_00108,CUST_00108,Starter,49,2023-03-03,2023-10-20,Churned
SUB_00109,CUST_00109,Pro,199,2023-01-06,,Active
SUB_00110,CUST_00110,Starter,49,2023-10-26,,Active
SUB_00111,CUST_00111,Pro,199,2022-10-17,2023-09-03,Churned
SUB_00112,CUST_00112,Pro,199,2023-03-08,,Active
SUB_00113,CUST_00113,Starter,49,2022-09-25,,Active
SUB_00114,CUST_00114,Starter,49,2022-05-31,2022-08-22,Churned
SUB_00115,CUST_00115,Starter,49,2022-09-12,,Active
SUB_00116,CUST_00116,Pro,199,2022-12-19,,Active
SUB_00117,CUST_00117,Starter,49,2023-01-12,,Active
SUB_00118,CUST_00118,Pro,199,2023-10-15,,Active
SUB_00119,CUST_00119,Starter,49,2022-12-24,,Active
SUB_00120,CUST_00120,Starter,49,2023-08-31,,Active
SUB_00121,CUST_00121,Starter,49,2023-01-05,,Active
SUB_00122,CUST_00122,Starter,49,2022-08-15,,Active
SUB_00123,CUST_00123,Pro,199,2022-10-30,,Active
SUB_00124,CUST_00124,Enterprise,999,2023-01-24,,Active
SUB_00125,CUST_00125,Starter,49,2023-01-12,2023-07-05,Churned
SUB_00126,CUST_00126,Pro,199,2022-04-28,,Active
SUB_00127,CUST_00127,Starter,49,2022-01-05,,Active
SUB_00128,CUST_00128,Pro,199,2023-03-20,,Active
SUB_00129,CUST_00129,Starter,49,2022-12-18,2023-04-12,Churned
SUB_00130,CUST_00130,Pro,199,2023-06-17,,Active
SUB_00131,CUST_00131,Enterprise,999,2023-10-26,,Active
SUB_00132,CUST_00132,Starter,49,2023-10-02,2023-11-22,Churned
SUB_00133,CUST_00133,Pro,199,2022-05-04,,Active
SUB_00134,CUST_00134,Starter,49,2023-10-20,,Active
SUB_00135,CUST_00135,Starter,49,2022-10-04,,Active
SUB_00136,CUST_00136,Starter,49,2023-01-29,,Active
SUB_00137,CUST_00137,Starter,49,2023-10-26,,Active
SUB_00138,CUST_00138,Starter,49,2022-12-26,,Active
SUB_00139,CUST_00139,Starter,49,2023-09-15,,Active
SUB_00140,CUST_00140,Starter,49,2023-04-14,,Active
SUB_00141,CUST_00141,Starter,49,2023-09-20,,Active
SUB_00142,CUST_00142,Pro,199,2023-12-01,,Active
SUB_00143,CUST_00143,Enterprise,999,2022-02-26,,Active
SUB_00144,CUST_00144,Starter,49,2022-09-08,,Active
SUB_00145,CUST_00145,Starter,49,2022-05-30,2023-05-25,Churned
SUB_00146,CUST_00146,Starter,49,2023-03-28,2024-02-12,Churned
SUB_00147,CUST_00147,Pro,199,2022-06-11,2023-03-03,Churned
SUB_00148,CUST_00148,Pro,199,2022-04-30,,Active
SUB_00149,CUST_00149,Starter,49,2023-08-05,2023-10-02,Churned
SUB_00150,CUST_00150,Starter,49,2022-12-17,,Active
SUB_00151,CUST_00151,Starter,49,2022-04-09,2022-11-07,Churned
SUB_00152,CUST_00152,Starter,49,2022-06-16,,Active
SUB_00153,CUST_00153,Enterprise,999,2023-10-25,,Active
SUB_00154,CUST_00154,Pro,199,2023-05-29,,Active
SUB_00155,CUST_00155,Starter,49,2023-10-26,,Active
SUB_00156,CUST_00156,Pro,199,2023-02-05,2023-08-13,Churned
SUB_00157,CUST_00157,Starter,49,2022-12-31,2023-02-16,Churned
SUB_00158,CUST_00158,Starter,49,2023-07-31,2023-10-06,Churned
SUB_00159,CUST_00159,Pro,199,2022-11-22,,Active
SUB_00160,CUST_00160,Pro,199,2023-08-04,,Active
SUB_00161,CUST_00161,Starter,49,2023-09-25,,Active
SUB_00162,CUST_00162,Starter,49,2023-09-13,2024-01-21,Churned
SUB_00163,CUST_00163,Pro,199,2022-09-04,,Active
SUB_00164,CUST_00164,Pro,199,2023-03-10,2024-01-23,Churned
SUB_00165,CUST_00165,Starter,49,2022-04-03,,Active
SUB_00166,CUST_00166,Starter,49,2022-09-25,,Active
SUB_00167,CUST_00167,Starter,49,2023-09-07,2024-03-27,Churned
SUB_00168,CUST_00168,Enterprise,999,2023-09-16,,Active
SUB_00169,CUST_00169,Pro,199,2022-11-17,,Active
SUB_00170,CUST_00170,Starter,49,2022-03-03,,Active
SUB_00171,CUST_00171,Pro,199,2022-10-27,2023-01-31,Churned
SUB_00172,CUST_00172,Pro,199,2023-02-07,,Active
SUB_00173,CUST_00173,Starter,49,2023-10-10,,Active
SUB_00174,CUST_00174,Starter,49,2023-07-21,,Active
SUB_00175,CUST_00175,Pro,199,2023-09-12,,Active
SUB_00176,CUST_00176,Pro,199,2022-10-30,,Active
SUB_00177,CUST_00177,Pro,199,2022-09-10,,Active
SUB_00178,CUST_00178,Pro,199,2023-04-23,2023-11-29,Churned
SUB_00179,CUST_00179,Starter,49,2023-01-04,2023-03-17,Churned
SUB_00180,CUST_00180,Starter,49,2023-11-10,,Active
SUB_00181,CUST_00181,Enterprise,999,2022-06-09,2022-11-08,Churned
SUB_00182,CUST_00182,Starter,49,2022-06-15,,Active
SUB_00183,CUST_00183,Pro,199,2022-07-24,,Active
SUB_00184,CUST_00184,Pro,199,2022-09-24,,Active
SUB_00185,CUST_00185,Pro,199,2022-05-18,,Active
SUB_00186,CUST_00186,Starter,49,2023-01-03,,Active
SUB_00187,CUST_00187,Pro,199,2023-03-19,,Active
SUB_00188,CUST_00188,Pro,199,2023-07-21,2024-05-23,Churned
SUB_00189,CUST_00189,Pro,199,2022-01-17,,Active
SUB_00190,CUST_00190,Starter,49,2022-03-09,2022-10-20,Churned
SUB_00191,CUST_00191,Starter,49,2022-05-13,,Active
SUB_00192,CUST_00192,Starter,49,2023-12-01,,Active
SUB_00193,CUST_00193,Starter,49,2023-03-06,,Active
SUB_00194,CUST_00194,Starter,49,2022-11-04,,Active
SUB_00195,CUST_00195,Enterprise,999,2023-10-12,2024-10-08,Churned
SUB_00196,CUST_00196,Pro,199,2022-06-23,,Active
SUB_00197,CUST_00197,Pro,199,2023-02-16,,Active
SUB_00198,CUST_00198,Pro,199,2022-04-07,2022-09-08,Churned
SUB_00199,CUST_00199,Starter,49,2023-11-14,2024-03-18,Churned
SUB_00200,CUST_00200,Enterprise,999,2022-06-03,,Active
SUB_00201,CUST_00201,Starter,49,2023-11-26,,Active
SUB_00202,CUST_00202,Starter,49,2022-08-30,,Active
SUB_00203,CUST_00203,Starter,49,2022-10-31,,Active
SUB_00204,CUST_00204,Pro,199,2022-10-12,2023-04-16,Churned
SUB_00205,CUST_00205,Pro,199,2022-01-27,,Active
SUB_00206,CUST_00206,Starter,49,2023-02-06,,Active
SUB_00207,CUST_00207,Pro,199,2022-12-26,,Active
SUB_00208,CUST_00208,Starter,49,2022-03-01,,Active
SUB_00209,CUST_00209,Starter,49,2022-07-21,2022-09-28,Churned
SUB_00210,CUST_00210,Pro,199,2023-08-04,,Active
SUB_00211,CUST_00211,Pro,199,2023-01-05,,Active
SUB_00212,CUST_00212,Pro,199,2023-06-17,2024-01-05,Churned
SUB_00213,CUST_00213,Pro,199,2022-06-01,,Active
SUB_00214,CUST_00214,Pro,199,2022-04-12,,Active
SUB_00215,CUST_00215,Pro,199,2023-08-30,,Active
SUB_00216,CUST_00216,Pro,199,2023-03-22,,Active
SUB_00217,CUST_00217,Pro,199,2022-08-17,,Active
SUB_00218,CUST_00218,Enterprise,999,2022-05-05,,Active
SUB_00219,CUST_00219,Enterprise,999,2022-08-24,,Active
SUB_00220,CUST_00220,Starter,49,2022-06-11,2022-12-30,Churned
SUB_00221,CUST_00221,Pro,199,2023-07-08,,Active
SUB_00222,CUST_00222,Starter,49,2022-12-19,,Active
SUB_00223,CUST_00223,Starter,49,2022-03-09,,Active
SUB_00224,CUST_00224,Pro,199,2022-06-22,2022-11-18,Churned
SUB_00225,CUST_00225,Starter,49,2023-09-29,,Active
SUB_00226,CUST_00226,Pro,199,2023-11-13,2024-09-10,Churned
SUB_00227,CUST_00227,Pro,199,2023-07-13,,Active
SUB_00228,CUST_00228,Starter,49,2022-09-18,2023-09-01,Churned
SUB_00229,CUST_00229,Starter,49,2022-08-05,,Active
SUB_00230,CUST_00230,Enterprise,999,2022-05-04,2023-02-18,Churned
SUB_00231,CUST_00231,Starter,49,2022-06-11,,Active
SUB_00232,CUST_00232,Starter,49,2022-07-20,,Active
SUB_00233,CUST_00233,Starter,49,2023-03-30,,Active
SUB_00234,CUST_00234,Pro,199,2023-02-06,,Active
SUB_00235,CUST_00235,Pro,199,2023-04-07,,Active
SUB_00236,CUST_00236,Pro,199,2022-10-02,2023-08-08,Churned
SUB_00237,CUST_00237,Starter,49,2022-07-25,2023-07-18,Churned
SUB_00238,CUST_00238,Pro,199,2022-02-09,,Active
SUB_00239,CUST_00239,Pro,199,2022-09-30,,Active
SUB_00240,CUST_00240,Starter,49,2023-12-01,,Active
SUB_00241,CUST_00241,Pro,199,2022-04-03,2022-09-03,Churned
SUB_00242,CUST_00242,Pro,199,2022-02-11,2022-12-15,Churned
SUB_00243,CUST_00243,Pro,199,2023-04-10,2023-08-10,Churned
SUB_00244,CUST_00244,Starter,49,2023-01-14,,Active
SUB_00245,CUST_00245,Starter,49,2022-04-17,2022-06-20,Churned
SUB_00246,CUST_00246,Starter,49,2022-11-24,2023-10-30,Churned
SUB_00247,CUST_00247,Starter,49,2022-03-06,,Active
SUB_00248,CUST_00248,Pro,199,2022-12-31,,Active
SUB_00249,CUST_00249,Starter,49,2023-04-29,,Active
SUB_00250,CUST_00250,Pro,199,2023-10-09,,Active
SUB_00251,CUST_00251,Starter,49,2022-01-24,,Active
SUB_00252,CUST_00252,Starter,49,2023-06-24,,Active
SUB_00253,CUST_00253,Pro,199,2022-03-03,,Active
SUB_00254,CUST_00254,Starter,49,2023-05-06,,Active
SUB_00255,CUST_00255,Pro,199,2022-09-30,,Active
SUB_00256,CUST_00256,Starter,49,2022-08-17,,Active
SUB_00257,CUST_00257,Starter,49,2022-01-20,2022-06-26,Churned
SUB_00258,CUST_00258,Pro,199,2022-01-03,,Active
SUB_00259,CUST_00259,Pro,199,2023-02-25,,Active
SUB_00260,CUST_00260,Starter,49,2022-11-03,,Active
SUB_00261,CUST_00261,Starter,49,2023-03-08,2023-04-26,Churned
SUB_00262,CUST_00262,Pro,199,2022-05-16,2023-03-02,Churned
SUB_00263,CUST_00263,Enterprise,999,2023-05-30,,Active
SUB_00264,CUST_00264,Pro,199,2022-07-12,2023-01-24,Churned
SUB_00265,CUST_00265,Starter,49,2023-08-08,,Active
SUB_00266,CUST_00266,Enterprise,999,2023-02-19,2024-02-02,Churned
SUB_00267,CUST_00267,Starter,49,2022-04-28,,Active
SUB_00268,CUST_00268,Starter,49,2023-10-28,,Active
SUB_00269,CUST_00269,Pro,199,2022-07-28,,Active
SUB_00270,CUST_00270,Starter,49,2022-02-03,,Active
SUB_00271,CUST_00271,Starter,49,2023-10-11,,Active
SUB_00272,CUST_00272,Starter,49,2022-11-14,,Active
SUB_00273,CUST_00273,Starter,49,2022-04-30,2023-01-20,Churned
SUB_00274,CUST_00274,Pro,199,2023-09-19,,Active
SUB_00275,CUST_00275,Pro,199,2023-06-09,,Active
SUB_00276,CUST_00276,Starter,49,2023-08-04,,Active
SUB_00277,CUST_00277,Pro,199,2022-03-30,,Active
SUB_00278,CUST_00278,Enterprise,999,2023-05-27,,Active
SUB_00279,CUST_00279,Pro,199,2022-02-16,,Active
SUB_00280,CUST_00280,Starter,49,2023-11-23,,Active
SUB_00281,CUST_00281,Enterprise,999,2023-06-06,,Active
SUB_00282,CUST_00282,Pro,199,2022-10-11,,Active
SUB_00283,CUST_00283,Starter,49,2023-01-12,,Active
SUB_00284,CUST_00284,Starter,49,2023-09-30,,Active
SUB_00285,CUST_00285,Starter,49,2022-05-14,,Active
SUB_00286,CUST_00286,Pro,199,2023-10-29,2023-12-29,Churned
SUB_00287,CUST_00287,Starter,49,2022-09-05,,Active
SUB_00288,CUST_00288,Pro,199,2023-10-14,,Active
SUB_00289,CUST_00289,Starter,49,2022-11-14,2023-08-01,Churned
SUB_00290,CUST_00290,Enterprise,999,2023-03-12,,Active
SUB_00291,CUST_00291,Starter,49,2022-06-25,2023-01-31,Churned
SUB_00292,CUST_00292,Enterprise,999,2023-11-17,,Active
SUB_00293,CUST_00293,Enterprise,999,2023-08-09,,Active
SUB_00294,CUST_00294,Starter,49,2022-12-17,2023-12-11,Churned
SUB_00295,CUST_00295,Starter,49,2022-05-23,2022-11-13,Churned
SUB_00296,CUST_00296,Starter,49,2023-02-02,,Active
SUB_00297,CUST_00297,Enterprise,999,2023-09-16,,Active
SUB_00298,CUST_00298,Pro,199,2023-10-05,2024-02-12,Churned
SUB_00299,CUST_00299,Starter,49,2023-01-04,,Active
SUB_00300,CUST_00300,Starter,49,2023-05-16,,Active
SUB_00301,CUST_00301,Starter,49,2023-09-14,2023-12-31,Churned
SUB_00302,CUST_00302,Enterprise,999,2023-01-05,,Active
SUB_00303,CUST_00303,Pro,199,2023-08-02,2024-02-07,Churned
SUB_00304,CUST_00304,Pro,199,2023-01-17,,Active
SUB_00305,CUST_00305,Starter,49,2022-03-27,2023-01-05,Churned
SUB_00306,CUST_00306,Starter,49,2023-04-05,2024-02-07,Churned
SUB_00307,CUST_00307,Enterprise,999,2022-11-21,,Active
SUB_00308,CUST_00308,Starter,49,2023-06-06,,Active
SUB_00309,CUST_00309,Enterprise,999,2023-05-04,,Active
SUB_00310,CUST_00310,Starter,49,2023-02-01,2023-09-06,Churned
SUB_00311,CUST_00311,Starter,49,2022-12-21,2023-08-17,Churned
SUB_00312,CUST_00312,Pro,199,2022-10-15,,Active
SUB_00313,CUST_00313,Enterprise,999,2023-04-04,,Active
SUB_00314,CUST_00314,Enterprise,999,2023-09-16,2024-06-12,Churned
SUB_00315,CUST_00315,Starter,49,2023-06-20,,Active
SUB_00316,CUST_00316,Starter,49,2022-10-18,,Active
SUB_00317,CUST_00317,Pro,199,2022-06-17,2022-09-10,Churned
SUB_00318,CUST_00318,Pro,199,2023-09-13,2024-02-26,Churned
SUB_00319,CUST_00319,Pro,199,2023-03-04,2023-07-17,Churned
SUB_00320,CUST_00320,Starter,49,2023-05-05,,Active
SUB_00321,CUST_00321,Enterprise,999,2022-12-21,,Active
SUB_00322,CUST_00322,Pro,199,2022-07-15,,Active
SUB_00323,CUST_00323,Pro,199,2023-06-29,,Active
SUB_00324,CUST_00324,Pro,199,2023-11-25,2024-03-02,Churned
SUB_00325,CUST_00325,Starter,49,2023-10-21,,Active
SUB_00326,CUST_00326,Enterprise,999,2022-01-11,,Active
SUB_00327,CUST_00327,Pro,199,2023-08-05,,Active
SUB_00328,CUST_00328,Pro,199,2022-09-13,,Active
SUB_00329,CUST_00329,Enterprise,999,2023-01-31,2023-09-07,Churned
SUB_00330,CUST_00330,Pro,199,2023-02-13,2023-09-22,Churned
SUB_00331,CUST_00331,Pro,199,2022-12-28,2023-10-31,Churned
SUB_00332,CUST_00332,Starter,49,2022-09-16,,Active
SUB_00333,CUST_00333,Starter,49,2022-01-03,,Active
SUB_00334,CUST_00334,Starter,49,2022-03-25,2022-05-25,Churned
SUB_00335,CUST_00335,Starter,49,2022-06-05,2022-12-26,Churned
SUB_00336,CUST_00336,Starter,49,2023-10-25,,Active
SUB_00337,CUST_00337,Starter,49,2022-06-25,,Active
SUB_00338,CUST_00338,Starter,49,2023-04-17,,Active
SUB_00339,CUST_00339,Starter,49,2023-09-11,2024-06-24,Churned
SUB_00340,CUST_00340,Starter,49,2023-02-28,,Active
SUB_00341,CUST_00341,Starter,49,2022-05-14,2022-10-13,Churned
SUB_00342,CUST_00342,Pro,199,2023-01-15,2023-05-09,Churned
SUB_00343,CUST_00343,Pro,199,2023-10-29,,Active
SUB_00344,CUST_00344,Starter,49,2022-10-04,,Active
SUB_00345,CUST_00345,Pro,199,2022-08-24,2023-04-26,Churned
SUB_00346,CUST_00346,Pro,199,2022-01-13,2022-09-15,Churned
SUB_00347,CUST_00347,Starter,49,2022-12-08,,Active
SUB_00348,CUST_00348,Pro,199,2022-02-04,,Active
SUB_00349,CUST_00349,Enterprise,999,2023-07-13,,Active
SUB_00350,CUST_00350,Pro,199,2022-08-02,,Active
SUB_00351,CUST_00351,Starter,49,2023-02-16,2023-03-31,Churned
SUB_00352,CUST_00352,Pro,199,2023-02-09,2023-04-16,Churned
SUB_00353,CUST_00353,Starter,49,2023-05-09,2023-07-04,Churned
SUB_00354,CUST_00354,Pro,199,2023-10-20,,Active
SUB_00355,CUST_00355,Enterprise,999,2022-06-08,,Active
SUB_00356,CUST_00356,Pro,199,2023-09-29,2024-03-28,Churned
SUB_00357,CUST_00357,Enterprise,999,2022-04-20,,Active
SUB_00358,CUST_00358,Starter,49,2023-07-03,2023-10-04,Churned
SUB_00359,CUST_00359,Enterprise,999,2023-06-10,2023-09-17,Churned
SUB_00360,CUST_00360,Pro,199,2022-12-13,,Active
SUB_00361,CUST_00361,Starter,49,2023-09-28,,Active
SUB_00362,CUST_00362,Pro,199,2022-10-06,2023-04-07,Churned
SUB_00363,CUST_00363,Starter,49,2023-04-24,2024-01-31,Churned
SUB_00364,CUST_00364,Starter,49,2022-04-21,,Active
SUB_00365,CUST_00365,Pro,199,2023-09-28,,Active
SUB_00366,CUST_00366,Starter,49,2023-03-07,,Active
SUB_00367,CUST_00367,Pro,199,2023-06-26,,Active
SUB_00368,CUST_00368,Starter,49,2022-04-25,2023-02-19,Churned
SUB_00369,CUST_00369,Starter,49,2022-03-31,2022-05-28,Churned
SUB_00370,CUST_00370,Enterprise,999,2022-07-31,2022-11-11,Churned
SUB_00371,CUST_00371,Starter,49,2023-07-04,,Active
SUB_00372,CUST_00372,Pro,199,2023-08-18,,Active
SUB_00373,CUST_00373,Pro,199,2023-06-23,,Active
SUB_00374,CUST_00374,Pro,199,2022-12-26,2023-11-04,Churned
SUB_00375,CUST_00375,Enterprise,999,2023-05-01,,Active
SUB_00376,CUST_00376,Pro,199,2023-01-07,2023-04-05,Churned
SUB_00377,CUST_00377,Starter,49,2022-08-03,2023-05-02,Churned
SUB_00378,CUST_00378,Pro,199,2022-01-15,2023-01-08,Churned
SUB_00379,CUST_00379,Starter,49,2022-09-16,2023-03-13,Churned
SUB_00380,CUST_00380,Pro,199,2023-04-08,2023-05-17,Churned
SUB_00381,CUST_00381,Enterprise,999,2022-04-30,,Active
SUB_00382,CUST_00382,Pro,199,2022-05-08,2022-10-16,Churned
SUB_00383,CUST_00383,Pro,199,2023-06-07,,Active
SUB_00384,CUST_00384,Pro,199,2023-11-19,,Active
SUB_00385,CUST_00385,Pro,199,2023-10-07,,Active
SUB_00386,CUST_00386,Enterprise,999,2022-11-21,2023-02-20,Churned
SUB_00387,CUST_00387,Starter,49,2022-11-16,,Active
SUB_00388,CUST_00388,Starter,49,2023-05-21,,Active
SUB_00389,CUST_00389,Starter,49,2023-06-10,2024-03-27,Churned
SUB_00390,CUST_00390,Pro,199,2022-02-19,2022-10-24,Churned
SUB_00391,CUST_00391,Starter,49,2023-08-07,2024-04-24,Churned
SUB_00392,CUST_00392,Starter,49,2022-03-10,,Active
SUB_00393,CUST_00393,Starter,49,2023-01-26,,Active
SUB_00394,CUST_00394,Enterprise,999,2023-01-18,,Active
SUB_00395,CUST_00395,Pro,199,2022-01-16,,Active
SUB_00396,CUST_00396,Starter,49,2023-03-15,,Active
SUB_00397,CUST_00397,Starter,49,2023-07-22,2023-10-31,Churned
SUB_00398,CUST_00398,Starter,49,2023-09-09,,Active
SUB_00399,CUST_00399,Starter,49,2022-05-12,,Active
SUB_00400,CUST_00400,Starter,49,2023-07-14,,Active
SUB_00401,CUST_00401,Enterprise,999,2022-09-05,,Active
SUB_00402,CUST_00402,Enterprise,999,2022-09-30,,Active
SUB_00403,CUST_00403,Starter,49,2023-09-15,,Active
SUB_00404,CUST_00404,Starter,49,2022-12-15,2023-01-29,Churned
SUB_00405,CUST_00405,Starter,49,2023-04-29,,Active
SUB_00406,CUST_00406,Starter,49,2023-07-04,,Active
SUB_00407,CUST_00407,Starter,49,2022-12-23,,Active
SUB_00408,CUST_00408,Starter,49,2022-11-14,,Active
SUB_00409,CUST_00409,Starter,49,2023-09-25,,Active
SUB_00410,CUST_00410,Pro,199,2022-02-17,,Active
SUB_00411,CUST_00411,Pro,199,2022-01-10,,Active
SUB_00412,CUST_00412,Pro,199,2022-08-21,,Active
SUB_00413,CUST_00413,Starter,49,2022-02-05,,Active
SUB_00414,CUST_00414,Enterprise,999,2023-02-17,,Active
SUB_00415,CUST_00415,Enterprise,999,2023-04-07,,Active
SUB_00416,CUST_00416,Starter,49,2022-01-04,,Active
SUB_00417,CUST_00417,Starter,49,2022-02-13,,Active
