customer_id,logins_last_30_days,reports_generated,api_calls
CUST_00085,17,9,32
CUST_00086,3,1,566
CUST_00087,23,2,242
CUST_00088,21,9,785
CUST_00089,6,3,907
CUST_00090,22,13,73
CUST_00091,43,12,20
CUST_00092,31,7,864
CUST_00093,18,12,973
CUST_00094,19,14,49201
CUST_00095,12,1,153
CUST_00096,13,1,253
CUST_00097,4,1,206
CUST_00098,47,9,148
CUST_00099,39,3,917
CUST_00100,3,0,5400
CUST_00101,0,1,301
CUST_00102,12,3,26344
CUST_00103,39,6,490
CUST_00104,22,7,772
CUST_00105,18,5,43
CUST_00106,0,0,143
CUST_00107,1,0,243
CUST_00108,1,0,418
CUST_00109,48,5,516
CUST_00110,6,1,61
CUST_00111,1,0,857
CUST_00112,17,9,537
CUST_00113,18,3,316
CUST_00114,1,0,434
CUST_00115,45,3,836
CUST_00116,13,7,695
CUST_00117,31,12,817
CUST_00118,24,11,380
CUST_00119,42,12,35
CUST_00120,16,10,919
CUST_00121,46,8,974
CUST_00122,26,2,541
CUST_00123,41,14,580
CUST_00124,43,13,29979
CUST_00125,3,1,687
CUST_00126,17,11,789
CUST_00127,5,5,32
CUST_00128,42,9,580
CUST_00129,3,1,351
CUST_00130,13,1,254
CUST_00131,43,1,49385
CUST_00132,2,0,22
CUST_00133,33,9,253
CUST_00134,44,1,393
CUST_00135,34,3,675
CUST_00136,6,13,881
CUST_00137,22,5,272
CUST_00138,32,4,692
CUST_00139,36,1,858
CUST_00140,28,10,249
CUST_00141,42,4,236
CUST_00142,18,4,903
CUST_00143,29,11,10747
CUST_00144,29,12,427
CUST_00145,4,1,956
CUST_00146,0,0,633
CUST_00147,0,1,241
CUST_00148,35,3,133
CUST_00149,3,0,70
CUST_00150,39,1,857
CUST_00151,4,0,464
CUST_00152,37,1,420
CUST_00153,37,14,11341
CUST_00154,31,4,278
CUST_00155,37,5,218
CUST_00156,3,1,696
CUST_00157,1,1,306
CUST_00158,3,0,999
CUST_00159,48,2,313
CUST_00160,19,11,402
CUST_00161,33,3,922
CUST_00162,1,1,728
CUST_00163,36,10,487
CUST_00164,0,0,792
CUST_00165,34,6,404
CUST_00166,46,12,378
CUST_00167,0,1,280
CUST_00168,42,2,4044
CUST_00169,46,9,690
CUST_00170,16,12,326
CUST_00171,2,1,34
CUST_00172,19,2,69
CUST_00173,14,3,359
CUST_00174,26,9,689
CUST_00175,27,14,910
CUST_00176,15,6,407
CUST_00177,20,11,560
CUST_00178,0,1,579
CUST_00179,0,0,518
CUST_00180,10,12,605
CUST_00181,3,1,14024
CUST_00182,21,5,80
CUST_00183,35,7,437
CUST_00184,46,11,249
CUST_00185,14,4,37
CUST_00186,24,10,861
CUST_00187,13,10,44
CUST_00188,3,1,358
CUST_00189,43,7,136
CUST_00190,4,1,822
CUST_00191,8,10,978
CUST_00192,28,1,819
CUST_00193,22,6,460
CUST_00194,15,13,366
CUST_00195,1,1,18349
CUST_00196,30,11,228
CUST_00197,12,11,182
CUST_00198,1,1,466
CUST_00199,3,0,837
CUST_00200,6,11,31432
CUST_00201,9,8,974
CUST_00202,39,3,622
CUST_00203,36,9,898
CUST_00204,4,0,67
CUST_00205,23,14,868
CUST_00206,43,6,549
CUST_00207,8,1,709
CUST_00208,27,11,304
CUST_00209,0,0,603
CUST_00210,30,10,775
CUST_00211,30,3,754
CUST_00212,2,0,627
CUST_00213,36,5,94
CUST_00214,37,13,724
CUST_00215,48,1,245
CUST_00216,30,14,684
CUST_00217,28,4,796
CUST_00218,27,5,14521
CUST_00219,42,4,8292
CUST_00220,1,0,279
CUST_00221,49,10,660
CUST_00222,35,7,368
CUST_00223,10,8,278
CUST_00224,3,1,350
CUST_00225,35,8,225
CUST_00226,1,1,923
CUST_00227,49,13,927
CUST_00228,2,0,405
CUST_00229,16,10,445
CUST_00230,0,1,40616
CUST_00231,30,7,629
CUST_00232,7,14,72
CUST_00233,19,9,517
CUST_00234,42,13,320
CUST_00235,28,10,21
CUST_00236,4,1,178
CUST_00237,2,0,707
CUST_00238,40,4,108
CUST_00239,48,12,371
CUST_00240,31,14,696
CUST_00241,3,0,455
CUST_00242,1,0,566
CUST_00243,1,0,228
CUST_00244,20,7,937
CUST_00245,3,1,947
CUST_00246,1,1,956
CUST_00247,48,9,530
CUST_00248,5,12,363
CUST_00249,31,6,896
CUST_00250,13,2,424
CUST_00251,11,11,958
CUST_00252,9,10,215
CUST_00253,34,10,47
CUST_00254,46,2,464
CUST_00255,31,10,671
CUST_00256,14,1,945
CUST_00257,2,0,909
CUST_00258,22,4,272
CUST_00259,11,10,607
CUST_00260,35,11,992
CUST_00261,0,0,29
CUST_00262,2,1,632
CUST_00263,15,10,36010
CUST_00264,3,0,946
CUST_00265,26,9,865
CUST_00266,4,0,17511
CUST_00267,45,11,189
CUST_00268,18,9,151
CUST_00269,7,1,375
CUST_00270,28,14,254
CUST_00271,18,7,702
CUST_00272,20,6,653
CUST_00273,3,0,757
CUST_00274,39,2,33
CUST_00275,44,1,186
CUST_00276,6,10,878
CUST_00277,38,8,448
CUST_00278,22,8,10192
CUST_00279,11,2,672
CUST_00280,42,4,875
CUST_00281,46,13,13671
CUST_00282,11,13,622
CUST_00283,8,4,57
CUST_00284,47,2,17
CUST_00285,20,11,878
CUST_00286,4,1,870
CUST_00287,24,12,139
CUST_00288,35,14,457
CUST_00289,1,0,705
CUST_00290,26,4,48004
CUST_00291,2,1,965
CUST_00292,22,5,38307
CUST_00293,36,10,33057
CUST_00294,2,0,795
CUST_00295,4,1,119
CUST_00296,42,8,890
CUST_00297,48,4,2393
CUST_00298,1,1,2
CUST_00299,37,11,943
CUST_00300,31,1,228
CUST_00301,3,0,228
CUST_00302,47,4,4597
CUST_00303,2,1,342
CUST_00304,35,14,140
CUST_00305,1,1,56
CUST_00306,1,0,215
CUST_00307,42,6,4880
CUST_00308,44,10,113
CUST_00309,26,3,22248
CUST_00310,0,1,754
CUST_00311,2,0,293
CUST_00312,14,14,826
CUST_00313,14,10,47297
CUST_00314,0,0,33700
CUST_00315,14,1,595
CUST_00316,40,2,858
CUST_00317,0,1,320
CUST_00318,3,1,841
CUST_00319,4,1,713
CUST_00320,23,10,572
CUST_00321,47,6,40013
CUST_00322,27,6,757
CUST_00323,8,3,512
CUST_00324,3,0,927
CUST_00325,28,10,754
CUST_00326,17,9,44418
CUST_00327,8,4,746
CUST_00328,31,9,410
CUST_00329,0,1,44639
CUST_00330,0,0,16
CUST_00331,4,1,923
CUST_00332,30,3,600
CUST_00333,38,8,51
CUST_00334,2,1,369
CUST_00335,0,1,163
CUST_00336,5,8,302
CUST_00337,12,3,449
CUST_00338,14,1,927
CUST_00339,2,0,543
CUST_00340,29,4,709
CUST_00341,1,0,501
CUST_00342,2,1,350
CUST_00343,7,3,378
CUST_00344,43,5,438
CUST_00345,2,1,200
CUST_00346,2,1,106
CUST_00347,12,13,504
CUST_00348,5,3,383
CUST_00349,9,5,5892
CUST_00350,31,11,856
CUST_00351,2,1,295
CUST_00352,0,0,27
CUST_00353,2,1,336
CUST_00354,30,2,286
CUST_00355,15,3,42569
CUST_00356,2,1,342
CUST_00357,45,9,35326
CUST_00358,0,1,665
CUST_00359,4,1,39025
CUST_00360,30,6,486
CUST_00361,16,4,618
CUST_00362,1,1,250
CUST_00363,2,0,362
CUST_00364,27,13,106
CUST_00365,46,10,505
CUST_00366,9,10,441
CUST_00367,13,13,116
CUST_00368,2,1,244
CUST_00369,1,1,78
CUST_00370,4,1,12261
CUST_00371,40,11,485
CUST_00372,14,14,22
CUST_00373,41,4,196
CUST_00374,1,0,360
CUST_00375,42,12,40534
CUST_00376,2,1,426
CUST_00377,3,1,216
CUST_00378,2,1,989
CUST_00379,1,1,758
CUST_00380,3,1,665
CUST_00381,24,3,38401
CUST_00382,0,1,627
CUST_00383,45,12,195
CUST_00384,9,1,566
CUST_00385,40,4,686
CUST_00386,2,0,25211
CUST_00387,21,14,442
CUST_00388,30,14,996
CUST_00389,2,1,458
CUST_00390,4,1,458
CUST_00391,4,0,483
CUST_00392,37,1,143
CUST_00393,34,14,313
CUST_00394,20,13,27150
CUST_00395,11,12,728
CUST_00396,34,3,256
CUST_00397,3,0,638
CUST_00398,16,14,473
CUST_00399,47,3,684
CUST_00400,44,11,605
CUST_00401,5,6,18736
CUST_00402,7,4,4734
CUST_00403,12,4,218
CUST_00404,0,1,563
CUST_00405,44,12,530
CUST_00406,15,10,357
CUST_00407,25,13,236
CUST_00408,9,12,682
CUST_00409,44,11,274
CUST_00410,30,4,806
CUST_00411,25,1,875
CUST_00412,13,5,671
CUST_00413,21,13,751
CUST_00414,41,3,10096
CUST_00415,6,13,35994
CUST_00416,44,10,558
CUST_00417,32,5,396
CUST_00418,31,14,73
CUST_00419,44,3,977
CUST_00420,5,5,675
CUST_00421,15,4,981
CUST_00422,43,9,709
CUST_00423,22,14,922
CUST_00424,3,1,327
CUST_00425,2,0,12671
CUST_00426,0,0,147
CUST_00427,2,1,85
CUST_00428,3,1,520
CUST_00429,0,1,502
CUST_00430,18,1,764
CUST_00431,24,1,231
CUST_00432,13,9,887
CUST_00433,1,0,497
CUST_00434,2,0,422
CUST_00435,8,4,466
CUST_00436,2,0,246
CUST_00437,22,5,369
CUST_00438,35,9,512
CUST_00439,43,3,778
CUST_00440,14,3,104
CUST_00441,13,12,233
CUST_00442,0,0,10899
CUST_00443,0,1,4455
CUST_00444,17,7,474
CUST_00445,22,2,592
CUST_00446,2,1,634
CUST_00447,12,7,17964
CUST_00448,27,1,818
CUST_00449,9,1,272
CUST_00450,11,8,870
CUST_00451,19,6,758
CUST_00452,7,2,874
CUST_00453,1,0,12876
CUST_00454,42,10,193
CUST_00455,30,1,111
CUST_00456,42,3,22
CUST_00457,2,0,936
CUST_00458,0,0,893
CUST_00459,21,13,314
CUST_00460,47,5,201
CUST_00461,6,11,500
CUST_00462,29,10,617
CUST_00463,45,3,605
CUST_00464,23,13,994
CUST_00465,42,14,9471
CUST_00466,2,0,656
CUST_00467,43,12,507
CUST_00468,3,0,365
CUST_00469,3,0,530
CUST_00470,2,0,721
CUST_00471,1,1,593
CUST_00472,14,4,45
CUST_00473,2,1,34
CUST_00474,30,11,201
CUST_00475,31,13,534
CUST_00476,5,9,364
CUST_00477,0,0,469
CUST_00478,1,1,299
CUST_00479,29,9,776
CUST_00480,14,11,415
CUST_00481,5,14,345
CUST_00482,0,0,348
CUST_00483,15,1,698
CUST_00484,8,12,809
CUST_00485,39,6,189
CUST_00486,17,11,402
CUST_00487,3,0,751
CUST_00488,19,6,348
CUST_00489,14,10,372
CUST_00490,42,3,638
CUST_00491,15,14,504
CUST_00492,36,3,290
CUST_00493,37,10,971
CUST_00494,0,1,6701
CUST_00495,40,7,17964
CUST_00496,3,0,30093
CUST_00497,14,6,110
CUST_00498,1,0,554
CUST_00499,33,2,502
CUST_00500,5,13,300
CUST_00501,25,11,645
CUST_00502,19,12,12
CUST_00503,4,1,11487
CUST_00504,37,6,101
CUST_00505,42,5,965
CUST_00506,23,9,196
CUST_00507,3,1,390
CUST_00508,16,7,54
CUST_00509,4,0,182
CUST_00510,2,0,18
CUST_00511,21,10,362
CUST_00512,10,6,3119
CUST_00513,16,11,472
CUST_00514,3,0,8
CUST_00515,21,3,659
CUST_00516,1,1,24
CUST_00517,18,9,305
CUST_00518,6,11,583
CUST_00519,8,14,433
CUST_00520,6,14,7546
CUST_00521,3,0,421
CUST_00522,44,2,833
CUST_00523,37,1,56
CUST_00524,43,10,533
CUST_00525,10,10,823
CUST_00526,2,1,547
CUST_00527,26,9,178
CUST_00528,31,7,15220
CUST_00529,4,1,495
CUST_00530,3,1,0
CUST_00531,10,11,47
CUST_00532,30,1,416
CUST_00533,46,4,663
CUST_00534,0,1,944
CUST_00535,7,13,196
CUST_00536,10,3,569
CUST_00537,14,11,47
CUST_00538,42,7,952
CUST_00539,3,1,959
CUST_00540,42,9,354
CUST_00541,16,11,233
CUST_00542,1,1,21618
CUST_00543,12,11,699
CUST_00544,9,6,893
CUST_00545,40,10,40577
CUST_00546,42,2,36945
CUST_00547,47,3,368
CUST_00548,34,4,938
CUST_00549,41,6,168
CUST_00550,33,11,362
CUST_00551,26,1,921
CUST_00552,2,0,954
CUST_00553,14,4,872
CUST_00554,15,8,176
CUST_00555,39,9,499
CUST_00556,27,8,703
CUST_00557,12,8,132
CUST_00558,25,13,171
CUST_00559,41,13,529
CUST_00560,32,2,762
CUST_00561,35,14,440
CUST_00562,32,10,984
CUST_00563,46,2,111
CUST_00564,31,6,39
CUST_00565,1,0,101
CUST_00566,25,6,368
CUST_00567,13,9,173
CUST_00568,33,12,825
CUST_00569,19,10,340
CUST_00570,4,0,919
CUST_00571,41,5,923
CUST_00572,1,0,17452
CUST_00573,32,7,195
CUST_00574,14,8,583
CUST_00575,27,11,4018
CUST_00576,32,12,752
CUST_00577,38,1,800
CUST_00578,9,10,322
CUST_00579,22,11,112
CUST_00580,10,11,851
CUST_00581,4,0,674
CUST_00582,27,4,550
CUST_00583,32,5,234
CUST_00584,45,13,504
CUST_00585,17,2,942
CUST_00586,0,1,70
CUST_00587,0,0,218
CUST_00588,6,9,516
CUST_00589,20,1,752
CUST_00590,6,3,164
CUST_00591,40,4,512
CUST_00592,6,9,41585
CUST_00593,42,2,380
CUST_00594,2,0,183
CUST_00595,1,1,902
CUST_00596,31,12,368
CUST_00597,4,0,447
CUST_00598,25,4,7
CUST_00599,16,5,619
CUST_00600,47,12,381
CUST_00601,1,0,381
CUST_00602,2,0,989
CUST_00603,26,10,1131
CUST_00604,4,0,696
CUST_00605,48,12,795
CUST_00606,22,7,153
CUST_00607,48,8,33
CUST_00608,6,8,496
CUST_00609,33,14,863
CUST_00610,1,0,21
CUST_00611,35,3,379
CUST_00612,45,2,147
CUST_00613,22,6,909
CUST_00614,1,0,6494
CUST_00615,12,1,12563
CUST_00616,37,12,914
CUST_00617,9,9,589
CUST_00618,1,0,743
CUST_00619,17,8,550
CUST_00620,15,7,676
CUST_00621,4,0,98
CUST_00622,4,0,640
CUST_00623,49,7,530
CUST_00624,2,1,270
CUST_00625,0,1,984
CUST_00626,34,2,0
CUST_00627,20,7,286
CUST_00628,49,5,996
CUST_00629,3,0,179
CUST_00630,22,1,938
CUST_00631,46,9,255
CUST_00632,27,11,173
CUST_00633,40,8,853
CUST_00634,42,2,49
CUST_00635,12,2,531
CUST_00636,43,3,9924
CUST_00637,1,0,189
CUST_00638,16,9,750
CUST_00639,22,12,42
CUST_00640,23,6,516
CUST_00641,40,3,974
CUST_00642,4,0,759
CUST_00643,9,8,65
CUST_00644,43,6,395
CUST_00645,32,8,250
CUST_00646,30,10,127
CUST_00647,47,12,696
CUST_00648,25,2,187
CUST_00649,2,1,182
CUST_00650,25,11,582
CUST_00651,15,5,577
CUST_00652,4,0,967
CUST_00653,43,14,840
CUST_00654,2,1,761
CUST_00655,1,0,666
CUST_00656,31,4,411
CUST_00657,5,3,46440
CUST_00658,4,0,78
CUST_00659,20,9,18
CUST_00660,2,0,477
CUST_00661,22,7,946
CUST_00662,45,7,780
CUST_00663,38,6,44
CUST_00664,48,9,36176
CUST_00665,29,3,221
CUST_00666,46,14,128
CUST_00667,38,1,617
CUST_00668,19,7,762
CUST_00669,8,9,632
CUST_00670,8,6,229
CUST_00671,29,10,792
CUST_00672,45,2,226
CUST_00673,1,0,921
CUST_00674,46,8,396
CUST_00675,29,9,274
CUST_00676,0,1,137
CUST_00677,39,8,172
CUST_00678,13,9,326
CUST_00679,18,1,782
CUST_00680,0,0,214
CUST_00681,13,3,227
CUST_00682,4,0,106
CUST_00683,3,0,158
CUST_00684,41,3,4444
CUST_00685,1,0,135
CUST_00686,19,10,762
CUST_00687,40,1,29
CUST_00688,18,3,97
CUST_00689,1,0,608
CUST_00690,43,9,768
CUST_00691,40,14,783
CUST_00692,4,1,881
CUST_00693,21,11,522
CUST_00694,30,2,922
CUST_00695,45,1,341
CUST_00696,1,1,167
CUST_00697,7,7,210
CUST_00698,4,1,683
CUST_00699,45,13,837
CUST_00700,44,1,631
CUST_00701,43,13,184
CUST_00702,11,13,431
CUST_00703,40,10,423
CUST_00704,23,12,38
CUST_00705,4,1,979
CUST_00706,24,5,386
CUST_00707,0,1,27964
CUST_00708,16,14,768
CUST_00709,3,0,790
CUST_00710,34,5,741
CUST_00711,24,4,450
CUST_00712,8,3,957
CUST_00713,0,1,114
CUST_00714,1,0,929
CUST_00715,27,8,400
CUST_00716,10,7,303
CUST_00717,22,5,602
CUST_00718,2,1,308
CUST_00719,2,0,572
CUST_00720,0,0,102
CUST_00721,2,0,24274
CUST_00722,1,1,101
CUST_00723,45,2,906
CUST_00724,0,0,39673
CUST_00725,2,1,89
CUST_00726,2,0,117
CUST_00727,13,12,12087
CUST_00728,35,12,902
CUST_00729,46,8,302
CUST_00730,36,4,751
CUST_00731,47,7,647
CUST_00732,39,4,516
CUST_00733,15,13,208
CUST_00734,21,8,86
CUST_00735,40,14,961
CUST_00736,6,14,858
CUST_00737,2,1,318
CUST_00738,19,2,45838
CUST_00739,32,10,966
CUST_00740,2,1,886
CUST_00741,3,1,632
CUST_00742,49,7,23280
CUST_00743,17,6,869
CUST_00744,26,11,89
CUST_00745,35,8,477
CUST_00746,2,1,651
CUST_00747,30,6,111
CUST_00748,35,6,906
CUST_00749,0,0,13697
CUST_00750,42,12,976
CUST_00751,8,2,393
CUST_00752,39,7,886
CUST_00753,37,6,239
CUST_00754,7,1,271
CUST_00755,23,2,142
CUST_00756,13,2,953
CUST_00757,23,1,718
CUST_00758,23,3,118
CUST_00759,4,1,595
CUST_00760,17,4,899
CUST_00761,1,0,991
CUST_00762,12,2,250
CUST_00763,28,8,277
CUST_00764,2,1,162
CUST_00765,45,8,35852
CUST_00766,45,7,349
CUST_00767,7,10,5973
CUST_00768,3,1,457
CUST_00769,6,6,837
CUST_00770,37,11,90
CUST_00771,16,4,127
CUST_00772,16,5,778
CUST_00773,14,9,547
CUST_00774,45,13,969
CUST_00775,31,9,847
CUST_00776,22,4,791
CUST_00777,8,8,724
CUST_00778,2,0,508
CUST_00779,27,5,935
CUST_00780,25,9,744
CUST_00781,4,1,739
CUST_00782,34,4,880
CUST_00783,25,3,809
CUST_00784,27,7,236
CUST_00785,25,14,982
CUST_00786,12,2,532
CUST_00787,43,3,607
CUST_00788,3,1,976
CUST_00789,4,0,50
CUST_00790,4,1,848
CUST_00791,11,6,822
CUST_00792,28,14,28073
CUST_00793,9,3,891
CUST_00794,30,12,387
CUST_00795,1,1,61
CUST_00796,15,6,342
CUST_00797,4,1,152
CUST_00798,42,5,735
CUST_00799,15,10,965
CUST_00800,34,4,653
CUST_00801,8,12,40
CUST_00802,6,7,485
CUST_00803,0,1,37755
CUST_00804,43,10,677
CUST_00805,21,7,701
CUST_00806,27,4,808
CUST_00807,2,1,556
CUST_00808,14,4,719
CUST_00809,3,0,381
CUST_00810,46,4,95
CUST_00811,43,4,911
CUST_00812,0,1,1620
CUST_00813,33,5,292
CUST_00814,20,1,234
CUST_00815,7,2,340
CUST_00816,40,8,718
CUST_00817,8,8,956
CUST_00818,40,8,9785
CUST_00819,0,0,349
CUST_00820,3,0,871
CUST_00821,0,0,206
CUST_00822,46,14,959
CUST_00823,2,1,490
CUST_00824,40,4,24687
CUST_00825,27,7,140
CUST_00826,16,5,858
CUST_00827,46,11,598
CUST_00828,35,10,929
CUST_00829,16,1,890
CUST_00830,2,1,609
CUST_00831,29,4,22
CUST_00832,1,1,761
CUST_00833,23,2,363
CUST_00834,26,12,761
CUST_00835,28,12,147
CUST_00836,3,0,565
CUST_00837,40,2,31915
CUST_00838,49,5,953
CUST_00839,44,10,826
CUST_00840,20,10,915
CUST_00841,6,14,550
CUST_00842,12,8,504
CUST_00843,17,11,845
CUST_00844,4,1,217
CUST_00845,5,11,858
CUST_00846,2,1,481
CUST_00847,1,0,988
CUST_00848,3,0,415
CUST_00849,46,5,936
CUST_00850,39,7,748
CUST_00851,32,4,324
CUST_00852,16,4,835
CUST_00853,44,10,854
CUST_00854,28,4,788
CUST_00855,1,1,736
CUST_00856,21,8,488
CUST_00857,42,1,407
CUST_00858,2,1,143
CUST_00859,37,5,799
CUST_00860,28,12,210
CUST_00861,49,10,665
CUST_00862,2,0,258
CUST_00863,25,10,226
CUST_00864,49,4,998
CUST_00865,8,5,593
CUST_00866,3,0,888
CUST_00867,0,1,371
CUST_00868,40,2,390
CUST_00869,17,2,991
CUST_00870,40,14,87
CUST_00871,13,8,399
CUST_00872,0,1,308
CUST_00873,3,0,983
CUST_00874,4,1,3
CUST_00875,0,1,37941
CUST_00876,31,2,543
CUST_00877,40,6,745
CUST_00878,13,10,225
CUST_00879,47,6,14485
CUST_00880,28,2,205
CUST_00881,41,4,101
CUST_00882,3,1,57
CUST_00883,2,1,780
CUST_00884,34,14,149
CUST_00885,30,10,9955
CUST_00886,8,4,478
CUST_00887,5,13,555
CUST_00888,24,13,427
CUST_00889,32,11,541
CUST_00890,0,1,918
CUST_00891,4,0,523
CUST_00892,32,10,490
CUST_00893,32,4,5169
CUST_00894,1,0,291
CUST_00895,1,0,44
CUST_00896,34,3,199
CUST_00897,25,13,23
CUST_00898,46,13,762
CUST_00899,20,13,21375
CUST_00900,12,6,386
CUST_00901,3,1,589
CUST_00902,4,1,434
CUST_00903,29,12,241
CUST_00904,7,8,202
CUST_00905,4,0,236
CUST_00906,40,9,28369
CUST_00907,21,2,293
CUST_00908,31,8,347
CUST_00909,26,8,86
CUST_00910,49,7,209
CUST_00911,42,14,787
CUST_00912,39,13,608
CUST_00913,3,0,1
CUST_00914,7,6,998
CUST_00915,4,1,228
CUST_00916,17,2,409
CUST_00917,4,0,242
CUST_00918,30,13,769
CUST_00919,37,11,962
CUST_00920,19,4,467
CUST_00921,43,9,457
CUST_00922,45,3,553
CUST_00923,18,4,212
CUST_00924,1,0,807
CUST_00925,32,7,904
CUST_00926,28,2,385
CUST_00927,45,10,411
CUST_00928,37,12,514
CUST_00929,16,12,527
CUST_00930,14,2,387
CUST_00931,4,0,278
CUST_00932,5,14,989
CUST_00933,19,12,101
CUST_00934,5,4,588
CUST_00935,3,0,389
CUST_00936,4,0,5715
CUST_00937,3,1,566
CUST_00938,7,8,720
CUST_00939,40,7,391
CUST_00940,20,6,840
CUST_00941,33,12,353
CUST_00942,48,7,592
CUST_00943,40,13,755
CUST_00944,48,14,234
CUST_00945,4,1,113
CUST_00946,2,0,981
CUST_00947,41,2,959
CUST_00948,4,0,66
CUST_00949,16,7,808
CUST_00950,24,9,39
CUST_00951,4,0,732
CUST_00952,26,1,102
CUST_00953,36,11,410
CUST_00954,11,9,294
CUST_00955,26,3,564
CUST_00956,48,1,807
CUST_00957,6,7,563
CUST_00958,18,3,36
CUST_00959,3,0,66
CUST_00960,28,11,402
CUST_00961,2,0,673
CUST_00962,8,4,25490
CUST_00963,2,1,340
CUST_00964,45,2,833
CUST_00965,9,11,905
CUST_00966,4,1,51
CUST_00967,9,12,425
CUST_00968,1,0,955
CUST_00969,46,13,208
CUST_00970,12,10,513
CUST_00971,30,5,986
CUST_00972,14,3,640
CUST_00973,38,9,177
CUST_00974,0,1,675
CUST_00975,3,1,864
CUST_00976,2,1,21
CUST_00977,33,2,368
CUST_00978,1,1,738
CUST_00979,9,3,993
CUST_00980,2,0,81
CUST_00981,8,9,26249
CUST_00982,33,9,376
CUST_00983,2,1,2
CUST_00984,2,1,683
CUST_00985,4,1,117
CUST_00986,4,1,655
CUST_00987,13,7,25432
CUST_00988,4,0,394
CUST_00989,27,12,265
CUST_00990,7,2,434
CUST_00991,36,13,681
CUST_00992,28,5,724
CUST_00993,10,8,792
CUST_00994,17,10,5409
CUST_00995,19,10,375
CUST_00996,34,6,261
CUST_00997,16,12,365
CUST_00998,44,14,766
CUST_00999,39,12,427
CUST_01000,32,11,7
CUST_01001,8,5,929
CUST_01002,11,4,40
CUST_01003,1,0,16372
CUST_01004,20,6,256
CUST_01005,26,13,642
CUST_01006,49,11,563
CUST_01007,45,3,24573
CUST_01008,0,1,218
CUST_01009,7,1,243
CUST_01010,2,1,844
CUST_01011,35,1,938
CUST_01012,41,11,302
CUST_01013,26,4,369
CUST_01014,4,1,850
CUST_01015,1,1,6340
CUST_01016,26,4,69
CUST_01017,1,0,46
CUST_01018,24,7,116
CUST_01019,0,1,589
CUST_01020,4,0,516
CUST_01021,35,6,253
CUST_01022,47,9,831
CUST_01023,12,11,618
CUST_01024,9,10,755
CUST_01025,6,7,172
CUST_01026,0,1,959
CUST_01027,4,0,428
CUST_01028,4,1,35
CUST_01029,4,0,904
CUST_01030,3,1,406
CUST_01031,13,13,20358
CUST_01032,10,6,40482
CUST_01033,9,3,4986
CUST_01034,45,6,411
CUST_01035,42,2,487
CUST_01036,39,10,691
CUST_01037,1,1,778
CUST_01038,4,1,766
CUST_01039,30,8,40848
CUST_01040,4,0,831
CUST_01041,36,14,320
CUST_01042,0,0,72
CUST_01043,15,3,12555
CUST_01044,20,2,577
CUST_01045,2,1,643
CUST_01046,15,8,412
CUST_01047,14,3,771
CUST_01048,20,8,123
CUST_01049,16,2,384
CUST_01050,3,1,603
CUST_01051,43,9,785
CUST_01052,4,1,652
CUST_01053,28,2,18924
CUST_01054,19,2,581
CUST_01055,10,9,432
CUST_01056,23,10,490
CUST_01057,12,5,686
CUST_01058,40,11,870
CUST_01059,17,13,85
CUST_01060,37,4,764
CUST_01061,2,0,29
CUST_01062,32,10,666
CUST_01063,44,4,199
CUST_01064,14,7,874
