ticket_id,customer_id,priority,resolution_time_hours,satisfaction_score
TKT_000117,CUST_03097,Medium,59,1
TKT_000118,CUST_01834,Low,43,4
TKT_000119,CUST_02251,Medium,14,5
TKT_000120,CUST_03635,Medium,56,3
TKT_000121,CUST_01499,Low,36,5
TKT_000122,CUST_00569,Medium,69,4
TKT_000123,CUST_04260,Medium,56,2
TKT_000124,CUST_01293,Low,31,4
TKT_000125,CUST_04276,Medium,67,1
TKT_000126,CUST_02646,Medium,31,3
TKT_000127,CUST_00472,Medium,62,1
TKT_000128,CUST_03622,Medium,28,4
TKT_000129,CUST_00532,Medium,31,5
TKT_000130,CUST_01990,Low,29,4
TKT_000131,CUST_00609,Medium,68,2
TKT_000132,CUST_01083,Medium,25,2
TKT_000133,CUST_00975,Medium,45,5
TKT_000134,CUST_00975,Low,27,4
TKT_000135,CUST_04320,Low,43,2
TKT_000136,CUST_03982,High,19,4
TKT_000137,CUST_04285,Low,53,5
TKT_000138,CUST_04155,Medium,69,5
TKT_000139,CUST_01508,Medium,27,4
TKT_000140,CUST_04921,Medium,50,5
TKT_000141,CUST_04502,Low,49,3
TKT_000142,CUST_00614,Low,15,4
TKT_000143,CUST_03544,Low,46,5
TKT_000144,CUST_00384,Medium,71,5
TKT_000145,CUST_00412,High,39,3
TKT_000146,CUST_03377,Low,54,4
TKT_000147,CUST_02776,Medium,53,4
TKT_000148,CUST_02284,Low,25,3
TKT_000149,CUST_00663,High,16,1
TKT_000150,CUST_04142,Medium,13,1
TKT_000151,CUST_04036,Low,56,1
TKT_000152,CUST_00222,Medium,61,3
TKT_000153,CUST_00752,Medium,35,3
TKT_000154,CUST_03167,Low,14,5
TKT_000155,CUST_04914,Low,34,2
TKT_000156,CUST_03155,Low,22,2
TKT_000157,CUST_01269,Medium,49,4
TKT_000158,CUST_04106,High,67,4
TKT_000159,CUST_02137,Low,46,5
TKT_000160,CUST_02374,Medium,12,5
TKT_000161,CUST_02334,Low,17,3
TKT_000162,CUST_00215,Low,17,5
TKT_000163,CUST_00996,Medium,51,3
TKT_000164,CUST_01872,Medium,37,4
TKT_000165,CUST_03211,Low,46,1
TKT_000166,CUST_03451,Medium,24,2
TKT_000167,CUST_01665,Low,36,2
TKT_000168,CUST_00982,Medium,33,4
TKT_000169,CUST_00402,Medium,28,4
TKT_000170,CUST_00612,Low,25,3
TKT_000171,CUST_04925,Medium,14,5
TKT_000172,CUST_00906,Low,15,4
TKT_000173,CUST_04453,Low,46,4
TKT_000174,CUST_01906,Low,65,4
TKT_000175,CUST_04361,Low,58,5
TKT_000176,CUST_04096,Low,66,3
TKT_000177,CUST_01107,Medium,39,5
TKT_000178,CUST_00228,Low,54,5
TKT_000179,CUST_01989,Low,13,1
TKT_000180,CUST_02179,High,56,5
TKT_000181,CUST_04008,Medium,59,2
TKT_000182,CUST_04641,Low,49,1
TKT_000183,CUST_00244,Medium,58,3
TKT_000184,CUST_01250,Medium,15,1
TKT_000185,CUST_00444,Low,71,4
TKT_000186,CUST_00615,Low,58,4
TKT_000187,CUST_03781,High,60,4
TKT_000188,CUST_00825,Medium,23,4
TKT_000189,CUST_03533,Medium,45,4
TKT_000190,CUST_00936,Medium,48,5
TKT_000191,CUST_01745,Medium,55,4
TKT_000192,CUST_04478,Medium,52,4
TKT_000193,CUST_02687,Medium,41,4
TKT_000194,CUST_00522,Medium,32,4
TKT_000195,CUST_04938,Low,67,5
TKT_000196,CUST_01877,Medium,39,1
TKT_000197,CUST_04033,Medium,53,2
TKT_000198,CUST_02206,Low,61,3
TKT_000199,CUST_00547,Medium,16,5
TKT_000200,CUST_02554,High,44,5
TKT_000201,CUST_02869,Critical,20,1
TKT_000202,CUST_00167,Medium,43,2
TKT_000203,CUST_02070,Low,38,5
TKT_000204,CUST_04944,Low,14,3
TKT_000205,CUST_02936,Low,51,4
TKT_000206,CUST_00017,Medium,55,1
TKT_000207,CUST_02707,Medium,53,4
TKT_000208,CUST_02810,High,62,5
TKT_000209,CUST_04351,High,55,3
TKT_000210,CUST_03260,Low,15,5
TKT_000211,CUST_00328,Low,47,3
TKT_000212,CUST_03452,High,68,4
TKT_000213,CUST_01998,High,47,3
TKT_000214,CUST_00346,Medium,52,4
TKT_000215,CUST_02355,Medium,70,5
TKT_000216,CUST_04272,Medium,67,5
TKT_000217,CUST_00544,Medium,63,1
TKT_000218,CUST_02383,Low,14,5
TKT_000219,CUST_03451,Medium,61,4
TKT_000220,CUST_03706,Medium,67,3
TKT_000221,CUST_02749,Low,67,5
TKT_000222,CUST_01357,Critical,12,4
TKT_000223,CUST_01807,Low,50,4
TKT_000224,CUST_01367,Medium,51,5
TKT_000225,CUST_02854,Medium,50,3
TKT_000226,CUST_00186,Medium,38,4
TKT_000227,CUST_04206,Low,55,5
TKT_000228,CUST_00767,Medium,14,4
TKT_000229,CUST_00035,Low,47,4
TKT_000230,CUST_03916,Low,48,1
TKT_000231,CUST_01646,Low,41,2
TKT_000232,CUST_03586,Low,12,4
TKT_000233,CUST_00798,High,21,5
TKT_000234,CUST_04106,Medium,14,5
TKT_000235,CUST_03657,Low,49,5
TKT_000236,CUST_01660,High,14,3
TKT_000237,CUST_00038,Low,48,4
TKT_000238,CUST_01979,Low,63,4
TKT_000239,CUST_00887,Low,45,4
TKT_000240,CUST_02730,Medium,63,5
TKT_000241,CUST_03455,Medium,31,5
TKT_000242,CUST_04675,Low,22,5
TKT_000243,CUST_03361,Low,30,5
TKT_000244,CUST_02664,Medium,38,5
TKT_000245,CUST_04237,Medium,35,4
TKT_000246,CUST_04299,High,17,2
TKT_000247,CUST_03476,Medium,12,4
TKT_000248,CUST_02850,Medium,68,4
TKT_000249,CUST_03378,Medium,30,4
TKT_000250,CUST_02185,Medium,63,3
TKT_000251,CUST_04871,Low,69,2
TKT_000252,CUST_04714,Low,21,3
TKT_000253,CUST_02673,Medium,55,4
TKT_000254,CUST_01140,Medium,43,5
TKT_000255,CUST_04234,Low,66,5
TKT_000256,CUST_02463,Medium,59,5
TKT_000257,CUST_03233,Low,48,5
TKT_000258,CUST_02668,Low,47,3
TKT_000259,CUST_00248,Low,13,1
TKT_000260,CUST_00526,Low,48,2
TKT_000261,CUST_04321,Medium,25,4
TKT_000262,CUST_01145,Low,57,5
TKT_000263,CUST_04831,Medium,24,5
TKT_000264,CUST_04817,Low,67,5
TKT_000265,CUST_00463,Medium,61,5
TKT_000266,CUST_02964,Low,28,3
TKT_000267,CUST_04117,Low,38,1
TKT_000268,CUST_01979,Medium,65,4
TKT_000269,CUST_03401,Medium,40,3
TKT_000270,CUST_04544,Medium,24,2
TKT_000271,CUST_01964,Low,60,4
TKT_000272,CUST_04351,Medium,36,4
TKT_000273,CUST_01186,Low,35,5
TKT_000274,CUST_00303,Medium,59,5
TKT_000275,CUST_00777,Low,47,4
TKT_000276,CUST_03260,Medium,34,5
TKT_000277,CUST_00624,Medium,37,5
TKT_000278,CUST_03857,Medium,59,4
TKT_000279,CUST_01460,Critical,18,3
TKT_000280,CUST_03387,High,17,3
TKT_000281,CUST_04776,Medium,27,4
TKT_000282,CUST_00480,High,21,3
TKT_000283,CUST_04231,Low,50,4
TKT_000284,CUST_01062,Low,68,4
TKT_000285,CUST_00288,Medium,38,2
TKT_000286,CUST_03640,Critical,7,5
TKT_000287,CUST_01144,Medium,21,2
TKT_000288,CUST_01424,Low,59,4
TKT_000289,CUST_00658,Medium,19,2
TKT_000290,CUST_03086,Low,20,3
TKT_000291,CUST_01740,Medium,24,4
TKT_000292,CUST_02517,Low,63,5
TKT_000293,CUST_04989,Low,19,4
TKT_000294,CUST_02202,Low,38,3
TKT_000295,CUST_00679,Medium,57,4
TKT_000296,CUST_03458,Medium,53,3
TKT_000297,CUST_02745,Low,32,5
TKT_000298,CUST_02354,Medium,52,4
TKT_000299,CUST_01649,Medium,45,5
TKT_000300,CUST_01680,Critical,18,3
TKT_000301,CUST_03967,High,41,4
TKT_000302,CUST_02742,Low,55,5
TKT_000303,CUST_00854,Low,27,2
TKT_000304,CUST_00593,Low,12,4
TKT_000305,CUST_03407,Medium,56,4
TKT_000306,CUST_02953,Medium,58,4
TKT_000307,CUST_01020,Low,40,2
TKT_000308,CUST_04994,High,53,1
TKT_000309,CUST_01585,Medium,41,1
TKT_000310,CUST_04912,Medium,33,3
TKT_000311,CUST_02615,Medium,26,5
TKT_000312,CUST_01872,Medium,31,5
TKT_000313,CUST_01091,Medium,49,5
TKT_000314,CUST_00627,High,34,5
TKT_000315,CUST_04208,Low,42,3
TKT_000316,CUST_04767,Medium,68,5
TKT_000317,CUST_03179,Low,28,5
TKT_000318,CUST_00026,Medium,71,4
TKT_000319,CUST_03049,Medium,46,4
TKT_000320,CUST_00622,Low,13,5
TKT_000321,CUST_03486,Low,58,5
TKT_000322,CUST_00717,Low,64,5
TKT_000323,CUST_02661,Low,42,2
TKT_000324,CUST_01742,Medium,37,1
TKT_000325,CUST_03073,Critical,13,1
TKT_000326,CUST_03734,Low,19,5
TKT_000327,CUST_04465,Low,27,3
TKT_000328,CUST_02775,Medium,23,5
TKT_000329,CUST_01846,Low,64,2
TKT_000330,CUST_04238,Low,67,4
TKT_000331,CUST_00014,Medium,30,1
TKT_000332,CUST_02759,High,55,2
TKT_000333,CUST_00531,High,69,1
TKT_000334,CUST_02879,Low,24,5
TKT_000335,CUST_03405,Low,12,5
TKT_000336,CUST_00438,Medium,24,2
TKT_000337,CUST_00383,Low,15,4
TKT_000338,CUST_01290,Medium,62,2
TKT_000339,CUST_02853,Medium,56,5
TKT_000340,CUST_02038,Low,59,5
TKT_000341,CUST_03717,Low,42,5
TKT_000342,CUST_02453,High,19,3
TKT_000343,CUST_00886,Medium,38,3
TKT_000344,CUST_03495,Medium,19,3
TKT_000345,CUST_03015,Medium,67,1
TKT_000346,CUST_03983,Medium,62,1
TKT_000347,CUST_04175,Low,35,5
TKT_000348,CUST_00309,Medium,33,5
TKT_000349,CUST_00727,Medium,51,1
TKT_000350,CUST_03105,Low,40,4
TKT_000351,CUST_02938,Low,20,5
TKT_000352,CUST_01714,Medium,28,1
TKT_000353,CUST_03872,Medium,12,4
TKT_000354,CUST_00713,Medium,55,2
TKT_000355,CUST_00951,Medium,43,3
TKT_000356,CUST_01436,Medium,31,1
TKT_000357,CUST_04566,Medium,12,4
TKT_000358,CUST_01539,Medium,36,5
TKT_000359,CUST_02613,Low,52,1
TKT_000360,CUST_02169,Low,38,4
TKT_000361,CUST_02198,Medium,34,3
TKT_000362,CUST_02201,Medium,29,5
TKT_000363,CUST_03052,High,63,4
TKT_000364,CUST_01671,Medium,42,1
TKT_000365,CUST_04670,Medium,39,3
TKT_000366,CUST_03135,Low,63,4
TKT_000367,CUST_03365,Medium,53,1
TKT_000368,CUST_02116,Low,32,5
TKT_000369,CUST_00225,Medium,23,5
TKT_000370,CUST_00847,Low,48,2
TKT_000371,CUST_04070,Low,35,5
TKT_000372,CUST_02957,Medium,62,4
TKT_000373,CUST_04388,Low,50,5
TKT_000374,CUST_02262,Medium,60,4
TKT_000375,CUST_01584,Medium,44,5
TKT_000376,CUST_00971,Medium,62,4
TKT_000377,CUST_03973,Low,28,5
TKT_000378,CUST_01217,Low,70,5
TKT_000379,CUST_01639,Medium,44,4
TKT_000380,CUST_02122,Low,27,3
TKT_000381,CUST_04721,High,62,4
TKT_000382,CUST_02712,Low,38,5
TKT_000383,CUST_01287,Medium,52,3
TKT_000384,CUST_03158,Low,64,4
TKT_000385,CUST_00058,Medium,39,5
TKT_000386,CUST_01685,High,47,5
TKT_000387,CUST_03489,Medium,18,4
TKT_000388,CUST_01305,Medium,45,2
TKT_000389,CUST_01631,Low,65,5
TKT_000390,CUST_04081,High,57,3
TKT_000391,CUST_04304,Medium,69,1
TKT_000392,CUST_01167,Low,12,3
TKT_000393,CUST_00413,Low,15,3
TKT_000394,CUST_01619,Low,65,4
TKT_000395,CUST_02778,Low,37,1
TKT_000396,CUST_00740,High,31,4
TKT_000397,CUST_04900,Low,66,4
TKT_000398,CUST_04515,Low,62,3
TKT_000399,CUST_00919,Medium,24,3
TKT_000400,CUST_02249,Medium,46,1
TKT_000401,CUST_04083,Low,21,3
TKT_000402,CUST_04176,Low,19,2
TKT_000403,CUST_01504,Low,29,4
TKT_000404,CUST_03228,Medium,28,4
TKT_000405,CUST_00828,Low,16,5
TKT_000406,CUST_03232,High,41,4
TKT_000407,CUST_02874,Medium,42,4
TKT_000408,CUST_01618,Medium,50,1
TKT_000409,CUST_01186,High,63,3
TKT_000410,CUST_01685,Medium,35,5
TKT_000411,CUST_00510,Medium,28,4
TKT_000412,CUST_00695,Low,64,3
TKT_000413,CUST_03280,Medium,45,4
TKT_000414,CUST_04017,Low,54,2
TKT_000415,CUST_02069,Medium,46,1
TKT_000416,CUST_01247,Medium,26,2
TKT_000417,CUST_00400,Medium,65,3
TKT_000418,CUST_02608,High,22,3
TKT_000419,CUST_04585,Medium,45,5
TKT_000420,CUST_00288,Low,19,2
TKT_000421,CUST_01404,Medium,26,5
TKT_000422,CUST_04533,High,47,5
TKT_000423,CUST_02178,Medium,69,2
TKT_000424,CUST_00441,Low,66,4
TKT_000425,CUST_04886,Critical,6,3
TKT_000426,CUST_01269,Low,34,2
TKT_000427,CUST_02513,Critical,17,4
TKT_000428,CUST_00186,Low,37,5
TKT_000429,CUST_04258,Critical,12,5
TKT_000430,CUST_03271,Low,22,4
TKT_000431,CUST_02449,Medium,65,4
TKT_000432,CUST_03544,Medium,23,4
TKT_000433,CUST_01480,Medium,19,3
TKT_000434,CUST_04887,Medium,57,2
TKT_000435,CUST_03063,Medium,19,3
TKT_000436,CUST_04641,Low,52,3
TKT_000437,CUST_02461,Low,16,5
TKT_000438,CUST_02579,Medium,56,2
TKT_000439,CUST_01145,Medium,21,2
TKT_000440,CUST_04165,Low,14,5
TKT_000441,CUST_00635,Low,54,1
TKT_000442,CUST_01304,Medium,48,5
TKT_000443,CUST_04662,Medium,33,2
TKT_000444,CUST_00533,High,68,4
TKT_000445,CUST_01882,Low,36,3
TKT_000446,CUST_02698,High,15,4
TKT_000447,CUST_04650,High,69,5
TKT_000448,CUST_00953,Low,48,4
TKT_000449,CUST_02806,Medium,19,5
TKT_000450,CUST_00570,Medium,41,5
TKT_000451,CUST_04524,Medium,20,4
TKT_000452,CUST_02823,Medium,26,2
TKT_000453,CUST_03216,Medium,12,4
TKT_000454,CUST_00980,Low,62,4
TKT_000455,CUST_04131,Low,55,4
TKT_000456,CUST_03542,Low,24,3
TKT_000457,CUST_02574,Medium,15,2
TKT_000458,CUST_03387,Low,27,5
TKT_000459,CUST_03556,High,68,1
TKT_000460,CUST_02878,Medium,55,2
TKT_000461,CUST_01738,Medium,58,4
TKT_000462,CUST_02424,High,12,5
TKT_000463,CUST_02882,Low,25,2
TKT_000464,CUST_02704,Low,38,5
TKT_000465,CUST_02536,Critical,22,3
TKT_000466,CUST_03568,Medium,58,1
TKT_000467,CUST_02401,Low,43,5
TKT_000468,CUST_04450,Low,51,5
TKT_000469,CUST_03956,High,13,2
TKT_000470,CUST_03553,Medium,27,5
TKT_000471,CUST_00979,Low,39,4
TKT_000472,CUST_00403,High,60,3
TKT_000473,CUST_02805,Medium,37,4
TKT_000474,CUST_01515,Critical,14,5
TKT_000475,CUST_01548,Low,34,4
TKT_000476,CUST_00394,Medium,41,5
TKT_000477,CUST_02631,Low,63,4
TKT_000478,CUST_00104,Medium,71,2
TKT_000479,CUST_01744,Low,42,5
TKT_000480,CUST_00422,Low,13,4
TKT_000481,CUST_04714,Low,31,4
TKT_000482,CUST_03178,Low,40,5
TKT_000483,CUST_03777,Critical,22,4
TKT_000484,CUST_04391,Low,29,5
TKT_000485,CUST_00276,Medium,70,5
TKT_000486,CUST_00194,Medium,42,2
TKT_000487,CUST_04407,Medium,15,3
TKT_000488,CUST_04716,Medium,38,3
TKT_000489,CUST_01127,Medium,71,3
TKT_000490,CUST_04019,Critical,16,4
TKT_000491,CUST_00250,Medium,55,5
TKT_000492,CUST_03468,High,42,3
TKT_000493,CUST_02830,Medium,18,4
TKT_000494,CUST_04392,Medium,30,5
TKT_000495,CUST_00238,Medium,50,5
TKT_000496,CUST_03721,Low,13,3
TKT_000497,CUST_04010,Low,25,2
TKT_000498,CUST_04906,Low,47,4
TKT_000499,CUST_02337,Low,54,5
TKT_000500,CUST_02585,Medium,66,3
TKT_000501,CUST_01766,Low,57,4
TKT_000502,CUST_03918,Medium,39,4
TKT_000503,CUST_04617,High,49,5
TKT_000504,CUST_01143,Medium,14,4
TKT_000505,CUST_02167,Low,40,4
TKT_000506,CUST_01115,Low,67,2
TKT_000507,CUST_02220,High,38,4
TKT_000508,CUST_04819,High,68,3
TKT_000509,CUST_01140,High,59,3
TKT_000510,CUST_04663,Low,63,4
TKT_000511,CUST_04572,Low,59,5
TKT_000512,CUST_03517,Critical,13,2
TKT_000513,CUST_01977,Low,14,2
TKT_000514,CUST_01597,Low,59,2
TKT_000515,CUST_01146,Low,41,5
TKT_000516,CUST_01628,Critical,20,5
TKT_000517,CUST_01859,Medium,19,5
TKT_000518,CUST_01246,High,21,5
TKT_000519,CUST_01483,Low,33,3
TKT_000520,CUST_01522,Medium,35,3
TKT_000521,CUST_00370,Low,14,5
TKT_000522,CUST_04856,Low,25,2
TKT_000523,CUST_03193,Medium,58,1
TKT_000524,CUST_03233,Medium,35,3
TKT_000525,CUST_01786,Medium,38,1
TKT_000526,CUST_00575,Critical,4,3
TKT_000527,CUST_03704,Low,69,4
TKT_000528,CUST_04473,Low,45,4
TKT_000529,CUST_02573,Medium,42,5
TKT_000530,CUST_02116,High,59,4
TKT_000531,CUST_01903,Medium,38,5
TKT_000532,CUST_04080,Medium,56,3
TKT_000533,CUST_01157,Medium,40,4
TKT_000534,CUST_01086,Low,66,5
TKT_000535,CUST_00161,Low,40,2
TKT_000536,CUST_00759,Medium,58,5
TKT_000537,CUST_02749,High,57,5
TKT_000538,CUST_00830,Medium,61,2
TKT_000539,CUST_00849,Medium,59,3
TKT_000540,CUST_01977,Medium,23,4
TKT_000541,CUST_04345,Medium,25,5
TKT_000542,CUST_01530,High,38,3
TKT_000543,CUST_02250,Medium,58,4
TKT_000544,CUST_02893,Low,13,5
TKT_000545,CUST_03625,Medium,48,3
TKT_000546,CUST_01678,Medium,70,4
TKT_000547,CUST_04106,Medium,56,4
TKT_000548,CUST_04811,High,68,5
TKT_000549,CUST_04455,Low,29,3
TKT_000550,CUST_01300,Medium,24,5
TKT_000551,CUST_02172,Medium,20,4
TKT_000552,CUST_00630,Low,40,5
TKT_000553,CUST_04364,High,67,1
TKT_000554,CUST_00278,Medium,21,3
TKT_000555,CUST_01024,Medium,31,2
TKT_000556,CUST_04172,High,48,4
TKT_000557,CUST_04622,Low,40,5
TKT_000558,CUST_04714,Medium,17,4
TKT_000559,CUST_01200,Medium,52,3
TKT_000560,CUST_01718,High,37,3
TKT_000561,CUST_01981,Medium,33,4
TKT_000562,CUST_01591,Medium,65,5
TKT_000563,CUST_00270,Low,54,4
TKT_000564,CUST_04098,High,58,5
TKT_000565,CUST_02621,Medium,49,5
TKT_000566,CUST_01387,Medium,37,2
TKT_000567,CUST_00535,Low,28,5
TKT_000568,CUST_01609,Medium,12,3
TKT_000569,CUST_02399,Low,42,3
TKT_000570,CUST_04633,High,20,4
TKT_000571,CUST_02915,High,37,5
TKT_000572,CUST_00464,Low,61,4
TKT_000573,CUST_00023,Medium,64,5
TKT_000574,CUST_00689,Medium,68,4
TKT_000575,CUST_04067,High,17,1
TKT_000576,CUST_04224,Medium,68,4
TKT_000577,CUST_01287,Critical,20,5
TKT_000578,CUST_03861,Low,13,3
TKT_000579,CUST_02083,Low,53,3
TKT_000580,CUST_02535,Medium,38,4
TKT_000581,CUST_04197,Medium,12,3
TKT_000582,CUST_00737,Low,41,5
TKT_000583,CUST_04707,Low,29,5
TKT_000584,CUST_01341,High,45,4
TKT_000585,CUST_02378,Medium,32,5
TKT_000586,CUST_00196,Low,12,3
TKT_000587,CUST_02462,High,58,4
TKT_000588,CUST_01505,Low,43,4
TKT_000589,CUST_02116,Low,54,4
TKT_000590,CUST_02919,Low,45,3
TKT_000591,CUST_04025,High,58,4
TKT_000592,CUST_00871,Medium,64,5
TKT_000593,CUST_00185,Low,25,2
TKT_000594,CUST_01690,Low,16,3
TKT_000595,CUST_01213,Medium,66,2
TKT_000596,CUST_03646,Medium,47,4
TKT_000597,CUST_00498,Critical,4,2
TKT_000598,CUST_01566,Medium,43,2
TKT_000599,CUST_01663,Low,65,5
TKT_000600,CUST_00218,Medium,20,5
TKT_000601,CUST_04621,Low,56,2
TKT_000602,CUST_01362,Critical,9,3
TKT_000603,CUST_04217,Low,36,5
TKT_000604,CUST_01506,Low,22,5
TKT_000605,CUST_02159,Medium,57,4
TKT_000606,CUST_02057,Low,52,3
TKT_000607,CUST_04318,Low,24,3
TKT_000608,CUST_00797,Medium,41,4
TKT_000609,CUST_04957,Medium,45,4
TKT_000610,CUST_04051,Medium,43,4
TKT_000611,CUST_03720,High,41,4
TKT_000612,CUST_02252,Medium,29,1
TKT_000613,CUST_02501,High,50,2
TKT_000614,CUST_02309,Low,67,5
TKT_000615,CUST_04962,Low,14,5
TKT_000616,CUST_01033,Medium,18,5
TKT_000617,CUST_03845,Low,50,4
TKT_000618,CUST_03185,Low,66,5
TKT_000619,CUST_00340,High,45,5
TKT_000620,CUST_02095,Medium,19,3
TKT_000621,CUST_04926,Low,54,3
TKT_000622,CUST_04909,Medium,59,5
TKT_000623,CUST_00489,Low,69,5
TKT_000624,CUST_01346,Medium,43,5
TKT_000625,CUST_00791,Low,51,1
TKT_000626,CUST_03517,Low,25,3
TKT_000627,CUST_04189,Low,16,1
TKT_000628,CUST_01835,High,66,3
TKT_000629,CUST_01187,Low,18,3
TKT_000630,CUST_04234,Medium,21,2
TKT_000631,CUST_03456,Low,31,5
TKT_000632,CUST_04408,Low,32,3
TKT_000633,CUST_03270,Medium,39,4
TKT_000634,CUST_01707,Medium,40,5
TKT_000635,CUST_03600,Medium,17,2
TKT_000636,CUST_00703,High,49,4
TKT_000637,CUST_01274,Low,53,5
TKT_000638,CUST_00539,Low,52,4
TKT_000639,CUST_03754,High,14,3
TKT_000640,CUST_04213,Critical,22,5
TKT_000641,CUST_02940,Medium,28,1
TKT_000642,CUST_02615,Medium,44,3
TKT_000643,CUST_00486,Low,21,5
TKT_000644,CUST_01387,Medium,48,2
TKT_000645,CUST_01050,Low,44,1
TKT_000646,CUST_00784,Critical,21,4
TKT_000647,CUST_03060,Low,39,3
TKT_000648,CUST_02925,Low,34,5
TKT_000649,CUST_00620,Medium,53,3
TKT_000650,CUST_04510,Low,67,4
TKT_000651,CUST_03533,Medium,57,4
TKT_000652,CUST_04525,Critical,10,4
